"id","name","description","slug","stock_quantity","category_id","status","featured","created_at","updated_at","primary_unit","quantity","minimum_stock","maximum_stock","reorder_point","pricing_category_id","custom_base_price","company_name","weight_unit"
"c8923e99-e216-4271-b015-fe2d3d89e48f","100X50 U.LITE","<p>High-quality Sariya designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for TMT applications.</p>","100x50-ulite-1759843016023",96,"a14cbdc8-f866-41e1-b64e-32c9c6062819","ACTIVE",False,"2025-10-07 13:16:56.549788","2025-10-07 13:16:56.549788","Pieces","10",5,1000,10,NULL,NULL,"TMT","Kg"
"b9c804b1-c55e-4269-ae31-bfcfa22e2a7f","32x3 A","<p>High-quality 32x3 A designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for M.S Angle applications.</p>","32x3-a-1761109262131",5988,"c3a321f0-7966-4367-a4bc-950c4c1275ab","ACTIVE",False,"2025-10-22 05:01:02.131612","2025-10-22 05:01:02.131612","Pieces","10",5,1000,10,NULL,NULL,"i grill","Kg"
"948edf29-0e93-456d-b8f6-6b94876bb243","Welding Machine","<p>High-quality Welding Machine designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Wire Mesh applications.</p>","welding-machine-1759757027399",5,"21714cb1-fdd8-412d-b939-fe0abbe3aa92","ACTIVE",False,"2025-10-06 13:23:47.414679","2025-10-06 13:24:27.408688","Box","10",5,1000,10,NULL,NULL,"Aditya Birla Group","Kg"
"d2512885-6c95-44eb-9e3b-8529217a6a4a","Construction Material","<p>High-quality Construction Material designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Shape &amp; Section applications.</p>","construction-material-1759760679496",97,"1627efeb-d91b-4a17-a89c-ca4a8f2b74ea","ACTIVE",False,"2025-10-06 14:24:39.623548","2025-10-06 14:24:39.623548","Pieces","5",5,1000,10,NULL,NULL,"Aditya Birla Group","Kg"
"2ba91541-b8b4-4444-ad68-9b7a61868abe","Building Iron","<p>High-quality Building Iron designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Fabricators applications.</p>","building-iron-1759758350287",496,"f67dacbf-ab2d-4901-b3f7-47ba1b68b0fa","ACTIVE",False,"2025-10-06 13:45:50.34394","2025-10-06 13:45:50.34394","Box","10",5,1000,10,NULL,NULL,"Aditya Birla Group","Ton"
"9fd29674-809a-43e2-816a-e9cfd53cf878","10 MM GOL","<p>High-quality Construction Material designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Shape &amp; Section applications.</p>","10-mm-gol-1759842729127",97,"1627efeb-d91b-4a17-a89c-ca4a8f2b74ea","ACTIVE",False,"2025-10-07 13:12:09.691604","2025-10-07 13:12:09.691604","Pieces","5",5,1000,10,NULL,NULL,"Aditya Birla Group","Kg"
"27314282-122e-4ea8-8cf3-3f4354eb6412","10 MM SQU","<p>High-quality Building Iron designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Fabricators applications.</p>","10-mm-squ-1759842736295",496,"f67dacbf-ab2d-4901-b3f7-47ba1b68b0fa","ACTIVE",False,"2025-10-07 13:12:16.860605","2025-10-07 13:12:16.860605","Box","10",5,1000,10,NULL,NULL,"Aditya Birla Group","Ton"
"53952d04-3b43-4ee6-9aae-4480aeb1b688","10 MM SQU ISI","<p>High-quality Welding Machine designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Wire Mesh applications.</p>","10-mm-squ-isi-1759842737973",5,"21714cb1-fdd8-412d-b939-fe0abbe3aa92","ACTIVE",False,"2025-10-07 13:12:18.538579","2025-10-07 13:12:18.538579","Box","10",5,1000,10,NULL,NULL,"Aditya Birla Group","Kg"
"be443e80-a567-4ab7-ab59-6b2ddfb931a0","Sariya","<p>High-quality Sariya designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for TMT applications.</p>","sariya-1759756938160",96,"a14cbdc8-f866-41e1-b64e-32c9c6062819","ACTIVE",False,"2025-10-06 13:22:18.168091","2025-10-07 13:12:22.12844","Pieces","10",5,1000,10,NULL,NULL,"TMT","Kg"
"36e90c9b-dd74-4369-a35e-1b7fecd57f3b","10 MM SQU JDS","<p>High-quality Construction Material designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Shape &amp; Section applications.</p>","10-mm-squ-jds-1759843010956",97,"1627efeb-d91b-4a17-a89c-ca4a8f2b74ea","ACTIVE",False,"2025-10-07 13:16:51.482806","2025-10-07 13:16:51.482806","Pieces","5",5,1000,10,NULL,NULL,"Aditya Birla Group","Kg"
"b0b93b6b-278c-4aa8-aeec-08f958f8fed7","10 MM TMT","<p>High-quality Building Iron designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Fabricators applications.</p>","10-mm-tmt-1759843012650",496,"f67dacbf-ab2d-4901-b3f7-47ba1b68b0fa","ACTIVE",False,"2025-10-07 13:16:53.176259","2025-10-07 13:16:53.176259","Box","10",5,1000,10,NULL,NULL,"Aditya Birla Group","Ton"
"4aa00c77-7774-476f-8b93-90f2f02b47fe","10 SQU GI","<p>High-quality Welding Machine designed for professional applications. Made from premium materials to ensure durability and reliability. Suitable for Wire Mesh applications.</p>","10-squ-gi-1759843014337",5,"21714cb1-fdd8-412d-b939-fe0abbe3aa92","ACTIVE",False,"2025-10-07 13:16:54.862817","2025-10-07 13:16:54.862817","Box","10",5,1000,10,NULL,NULL,"Aditya Birla Group","Kg"
